,_index,_type,_id,_score,sort,redVarietal,isVQA,subCategory,consumerRating,featured,_isLimitedTimeOffer,regularPrice,isCraft,isDraft,promotionStartDate,whiteVarietal,tastingDescription,_promotionStartDate,_all_featured,promotionEndDate,isBCSpirit,sku,isLimitedTimeOffer,_featured,image,availableUnits,last_updated,subRegion,unitSize,upc,_blacklist,isDealcoholizedWine,volume,certificates,name,style,countryName,isBCCraft,region,statusCode,status,color,grapeType,isOrganic,storeCount,nameSuffix,alcoholPercentage,productCategory,isExclusive,all_featured,restrictionCode,productSubCategory,namePrefix,countryCode,isOntarioVQA,class,productType,isKosher,_whitelist,inventoryCode,currentPrice,sweetness,isNew,all_promotions,promotions,nameSanitized,isBCVQA,_promotionEndDate,votes,category,ribbons,isImageCacheFile,is_special_release,availability_override,category_id,subCategory_id,class_id,totalVolume,totalPrice,totalAlcoholContent,alcoholCost,storePercent
0,bcls,product,709805,1.0,-196 - VODKA SODA VARIETY 12 PACK CAN,,,Coolers,4.1,['New Coolers & Ciders'],True,32.79,,,2026-06-28T00:00:00.000-07:00,,.,2026-06-28T00:00:00.000-07:00,"['BCL Select', 'On Sale']",2026-07-25T00:00:00.000-07:00,,709805,True,['New Coolers & Ciders'],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/709805.jpeg,3680,2026-07-22 11:10:01,,12,['00080686011828'],False,,0.355,[],-196 - VODKA SODA VARIETY 12 PACK CAN,,Canada,False,,2,2,,,False,177.0,196 - VODKA SODA VARIETY 12 PACK CAN,0.06,,True,"['BCL Select', 'On Sale']",C,,,CA,,Spirit Coolers,Coolers,False,False,0,29.29,,False,"[{'urlAlias': '/promotion/refreshment-beverages', 'name': 'New Coolers & Ciders', 'promoCode': '2026JULREFRESHLAUNCH', 'published': True, 'shortName': ''}]","[{'urlAlias': '/promotion/refreshment-beverages', 'name': 'New Coolers & Ciders', 'promoCode': '2026JULREFRESHLAUNCH', 'published': True, 'shortName': ''}]",-196 - vodka soda variety 12 pack can,,2026-07-25T00:00:00.000-07:00,51,Coolers & Ciders,"[{'id': 'featured', 'label': 'FEATURED', 'labelLengthWithoutTags': 8}, {'id': 'exclusive', 'label': 'ONLY@BCL', 'labelLengthWithoutTags': 8}]",True,,,1003,1015,1126,15676.8,120667.2,0.2556,128.28638497652582,0.8939393939393939
1,bcls,product,399865,1.0,1573  NATIONAL CELLAR,,,Asian Spirits,3.1,[],,256.99,,,,,"The National Cellar 1573 is originated from the 1573 treasure-class national cellars, a continuously used and well-protected historical and cultural site at the national level, and made pure manually through the Luzhou Laojiao traditional baijiu-making techniques, which have been included in the first group of the ""Representatives of National Intangible Cultural Heritages."" It has an extremely complex floral aroma and rich taste. Enjoy it neat with fine Chinese dining.
",,[],,,399865,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/399865.jpeg,189,2026-07-22 11:10:01,,1,"['06901798104595', '06901798138910']",False,,0.5,[],1573  NATIONAL CELLAR,,China,False,,2,2,,,False,20.0,1573  NATIONAL CELLAR,0.52,,False,[],SR,,,CN,,China Spirits,Other Spirits,False,False,0,256.99,,False,,,1573  national cellar,,,595,Spirits,[],True,,,1004,1016,1064,94.5,48571.11,0.26,988.4230769230769,0.10101010101010101
2,bcls,product,869479,1.0,1800 - BLANCO TEQUILA,,,Tequila,3.2,['Featured Sale'],True,44.99,,,2026-06-28T00:00:00.000-07:00,,"The most popular super-premium tequila, 1800 Blanco follows the original formula created in the year 1800. Made from 100% Weber blue agave and handpicked at its peak maturity, 1800 Blanco is a special selection of white tequilas blended for added complexity and character. The smooth, balanced taste with hints of sweet fruit and pepper is perfect sipped neat, on the rocks, as a shot or in a cocktail.
",2026-06-28T00:00:00.000-07:00,['On Sale'],2026-07-25T00:00:00.000-07:00,,869479,True,['Featured Sale'],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/869479.jpeg,13917,2026-07-22 11:10:01,,1,['00811538010139'],False,,0.75,[],1800 - BLANCO TEQUILA,,Mexico,False,,2,2,,,False,187.0, BLANCO TEQUILA,0.4,,False,['On Sale'],SR,,1800 ,MX,,Blanco/Silver Tequila,Tequila,False,False,0,41.99,,False,"[{'urlAlias': '/promotion/featured-sale', 'name': 'Featured Sale', 'promoCode': '2026JULFEATUREDSALE', 'published': True, 'shortName': ''}]","[{'urlAlias': '/promotion/featured-sale', 'name': 'Featured Sale', 'promoCode': '2026JULFEATUREDSALE', 'published': True, 'shortName': ''}]",1800 - blanco tequila,,2026-07-25T00:00:00.000-07:00,278,Spirits,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'featured', 'label': 'FEATURED', 'labelLengthWithoutTags': 8}]",True,,,1004,1022,1270,10437.75,626125.8300000001,0.30000000000000004,149.96666666666664,0.9444444444444444
3,bcls,product,243782,1.0,1800 - COCONUT,,,Tequila,3.4,[],,44.99,,,,,"Crafted from 100% Weber blue agave harvested at its peak, 1800 Coconut is a special selection of white tequilas, double-distilled and infused with natural, ripe coconut flavour. With its slightly sweet and medium-bodied tropical ​taste, this versatile spirit is delicious on the rocks and tastes great mixed with pineapple juice.
",,[],,,243782,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/243782.jpeg,3194,2026-07-22 11:10:01,,1,['00811538010375'],False,,0.75,[],1800 - COCONUT,,Mexico,False,,2,2,,,False,195.0, COCONUT,0.35,,False,[],SR,,1800 ,MX,,Flavoured Tequila,Tequila,False,False,0,44.99,,False,,,1800 - coconut,,,546,Spirits,[],True,,,1004,1022,1271,2395.5,143698.06,0.26249999999999996,171.39047619047622,0.9848484848484849
4,bcls,product,415602,1.0,1800 - CRISTALINO,,,Tequila,4.3,[],,72.99,,,,,"Double Gold, SIP Awards 2021. 1800 Cristalino is a beautiful contradiction. It is aged in French and American oak barrels, married together, then rested in port wine casks. Finally, it is meticulously filtered to crystal-clear clarity while retaining the depth and complexity of aÃ±ejo along with the silky smoothness of a blanco. Aromas of subtle oak and hints of vanilla. Luxuriously smooth flavour with nutty touches and a hint of citrus. The finish is long, silky, crisp and clean.
",,[],,,415602,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/415602.jpeg,576,2026-07-22 11:10:01,,1,['00811538016469'],False,,0.75,[],1800 - CRISTALINO,,Mexico,False,,2,2,,,False,80.0, CRISTALINO,0.4,,False,[],SR,,1800 ,MX,,Blanco/Silver Tequila,Tequila,False,False,0,72.99,,False,,,1800 - cristalino,,,88,Spirits,[],True,,,1004,1022,1270,432.0,42042.24,0.30000000000000004,243.29999999999995,0.40404040404040403
5,bcls,product,856344,1.0,1800 - REPOSADO RESERVA,,,Tequila,3.3,[],,45.99,,,,,"Crafted using matured 100% Weber blue agave grown in volcanic soil and handpicked at peak maturity, a special selection of white tequilas are rested in new American and French oak barrels. The result is a rich liquid with notes of buttery caramel, mild spices and a touch of smokiness. Perfect mixed in a cocktail, sipped neat or on the rocks.
",,[],,,856344,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/856344.jpeg,3069,2026-07-22 11:10:01,,1,"['00721059227506', '00811538010238']",False,,0.75,[],1800 - REPOSADO RESERVA,,Mexico,False,,2,2,,,False,173.0, REPOSADO RESERVA,0.4,,False,[],SR,,1800 ,MX,,Gold Tequila,Tequila,False,False,0,45.99,,False,,,1800 - reposado reserva,,,409,Spirits,[],True,,,1004,1022,1272,2301.75,141143.31,0.30000000000000004,153.29999999999998,0.8737373737373737
6,bcls,product,297402,1.0,1983 - CREAMY ESPRESSO MARTINI,,,Other Spirits,4.8,[],,6.99,,,,,"A smooth, creamy Espresso Martini made with bold espresso, premium vodka, and real cream liqueur. At 15% ABV, it's bar-strength and bar-quality - no mixing required. Proudly BC-owned and inspired by the original cocktail invented in 1983, it's the first of its kind. For those who love drinking espresso martinis, not making them.
",,[],,,297402,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/297402.jpeg,3894,2026-07-22 11:10:01,,1,['00860010648209'],False,,0.25,[],1983 - CREAMY ESPRESSO MARTINI,,Canada,False,,2,2,,,False,147.0, CREAMY ESPRESSO MARTINI,0.15,,False,[],SR,,1983 ,CA,,Ready to Serve Cocktails,Other Spirits,False,False,0,6.99,,False,,,1983 - creamy espresso martini,,,134,Spirits,[],True,,,1004,1020,1242,973.5,27219.06,0.0375,186.4,0.7424242424242424
7,bcls,product,711174,1.0,1983 - CREAMY ESPRESSO MARTINI 4 PACK CAN,,,Other Spirits,4.6,[],,26.99,,,,,"A smooth, creamy Espresso Martini made with bold espresso, premium vodka, and real cream liqueur. At 15% ABV, it's bar-strength and bar-quality - no mixing required. Proudly BC-owned and inspired by the original cocktail invented in 1983, it's the first of its kind. For those who love drinking espresso martinis, not making them.
",,['BCL Select'],,,711174,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/711174.jpeg,784,2026-07-22 11:10:01,,4,['00860010648247'],False,,0.25,[],1983 - CREAMY ESPRESSO MARTINI 4 PACK CAN,,Canada,False,,2,2,,,False,85.0, CREAMY ESPRESSO MARTINI 4 PACK CAN,0.15,,True,['BCL Select'],C,,1983 ,CA,,Ready to Serve Cocktails,Other Spirits,False,False,0,26.99,,False,,,1983 - creamy espresso martini 4 pack can,,,35,Spirits,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'exclusive', 'label': 'ONLY@BCL', 'labelLengthWithoutTags': 8}]",True,,,1004,1020,1242,784.0,21160.16,0.15,179.93333333333334,0.4292929292929293
8,bcls,product,312529,1.0,2 HOOTS - HARD ICED TEA ORIGINAL CAN,,,Coolers,4.0,[],True,14.99,,,2026-06-28T00:00:00.000-07:00,,"The authentic real brewed tea taste is complemented with the fresh lemon zest coming through. Just the right balance of tea and sweetness making it refreshing and satiable.
",2026-06-28T00:00:00.000-07:00,"['BCL Select', 'On Sale']",2026-07-25T00:00:00.000-07:00,,312529,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/312529.jpeg,1570,2026-07-22 11:10:01,,6,['00848819018010'],False,,0.355,[],2 HOOTS - HARD ICED TEA ORIGINAL CAN,,Canada,False,,3,3,,,False,163.0, HARD ICED TEA ORIGINAL CAN,0.05,,True,"['BCL Select', 'On Sale']",C,,2 HOOTS ,CA,,Spirit Coolers,Coolers,False,False,0,12.49,,False,,,2 hoots - hard iced tea original can,,2026-07-25T00:00:00.000-07:00,38,Coolers & Ciders,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'exclusive', 'label': 'ONLY@BCL', 'labelLengthWithoutTags': 8}]",True,,,1003,1015,1126,3344.1,23534.3,0.1065,140.7511737089202,0.8232323232323232
9,bcls,product,341167,1.0,3 RIBERAS BLANCO - CHIVITE LAS FINCAS,,,Spain Wine,4.2,[],,39.99,,,,Other Blend,"Intense nose white flowers, citrus fruits, peach and pineapple. On the pallate its fresh and balanced, round with flavours reminiscent of green apple and pear, and a subtle mineral undertone. A vibrant and balanced white with floral notes and refreshing charm for any occasion.
",,['BCL Select'],,,341167,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/341167.jpeg,235,2026-07-22 11:10:01,,1,['08410062717310'],False,,0.75,[],3 RIBERAS BLANCO - CHIVITE LAS FINCAS,,Spain,False,Other Spain North,2,2,WHITE,OTHER BLEND,False,18.0, CHIVITE LAS FINCAS,0.135,,True,['BCL Select'],C,,3 RIBERAS BLANCO ,ES,,Spain White Wine,White Wine,False,False,0,39.99,00,False,,,3 riberas blanco - chivite las fincas,,,22,Wine,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'exclusive', 'label': 'ONLY@BCL', 'labelLengthWithoutTags': 8}]",True,,,1005,1051,1269,176.25,9397.65,0.10125,394.96296296296293,0.09090909090909091
