,_index,_type,_id,_score,sort,redVarietal,isVQA,subCategory,consumerRating,featured,_isLimitedTimeOffer,regularPrice,isCraft,isDraft,promotionStartDate,whiteVarietal,tastingDescription,_promotionStartDate,_all_featured,promotionEndDate,isBCSpirit,sku,isLimitedTimeOffer,_featured,image,availableUnits,last_updated,subRegion,unitSize,upc,_blacklist,isDealcoholizedWine,volume,certificates,name,style,countryName,isBCCraft,region,statusCode,status,color,grapeType,isOrganic,storeCount,nameSuffix,alcoholPercentage,productCategory,isExclusive,all_featured,restrictionCode,productSubCategory,namePrefix,countryCode,isOntarioVQA,class,productType,isKosher,_whitelist,inventoryCode,currentPrice,sweetness,isNew,all_promotions,promotions,nameSanitized,isBCVQA,_promotionEndDate,votes,category,ribbons,isImageCacheFile,category_id,subCategory_id,class_id,totalVolume,totalPrice,totalAlcoholContent,alcoholCost,storePercent
0,bcls,product,341167,0.61182934,3 RIBERAS BLANCO - CHIVITE LAS FINCAS,,,Spain Wine,4.2,[],True,39.99,,,2026-07-26T00:00:00.000-07:00,Other Blend,"Intense nose white flowers, citrus fruits, peach and pineapple. On the pallate its fresh and balanced, round with flavours reminiscent of green apple and pear, and a subtle mineral undertone. A vibrant and balanced white with floral notes and refreshing charm for any occasion.
",2026-07-26T00:00:00.000-07:00,"['BCL Select', 'On Sale']",2026-08-29T00:00:00.000-07:00,,341167,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/341167.jpeg,211,2026-08-26 08:10:02,,1,['08410062717310'],False,,0.75,[],3 RIBERAS BLANCO - CHIVITE LAS FINCAS,,Spain,False,Other Spain North,2,2,WHITE,OTHER BLEND,False,18.0, CHIVITE LAS FINCAS,0.135,,True,"['BCL Select', 'On Sale']",C,,3 RIBERAS BLANCO ,ES,,Spain White Wine,White Wine,False,False,0,34.99,00,False,,,3 riberas blanco - chivite las fincas,,2026-08-29T00:00:00.000-07:00,25,Wine,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'exclusive', 'label': 'ONLY@BCL', 'labelLengthWithoutTags': 8}]",True,1005,1051,1269,158.25,8437.890000000001,0.10125,394.96296296296293,0.09090909090909091
1,bcls,product,34570,0.61182934,40 KNOTS - ISLAND AUXERROIS,,True,Canada - BC,4.6,[],True,34.99,,,2026-07-26T00:00:00.000-07:00,Auxerrois,"John Schreiner: ""40 Knots Auxerrois is smooth and vibrant, with unique apricot notes and a hint of juicy orchard fruits. Aromas of sandalwood add depth, while bright acidity keeps the palate fresh. Its balanced richness and subtle spice make it perfect for pairing with any Asian dish, enhancing bold flavours beautifully."" (May 2025)
",2026-07-26T00:00:00.000-07:00,"['On Sale', 'BC VQA']",2026-08-29T00:00:00.000-07:00,,34570,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/34570.jpeg,361,2026-08-26 08:10:02,,1,['00626990289845'],False,,0.75,"['BC VQA', 'All VQA']",40 KNOTS - ISLAND AUXERROIS,,Canada,False,,2,2,WHITE,AUXERROIS,False,22.0, ISLAND AUXERROIS,0.11699999999999999,,False,"['On Sale', 'BC VQA']",ST,,40 KNOTS ,CA,,Canada - BC White Wine,White Wine,False,False,0,27.99,00,False,,,40 knots - island auxerrois,True,2026-08-29T00:00:00.000-07:00,12,Wine,[],True,1005,1028,1079,270.75,12631.390000000001,0.08775,398.7464387464388,0.1111111111111111
2,bcls,product,21723,0.61182934,40 KNOTS - ISLAND GAMAY NOIR 2023,Gamay,True,Canada - BC,4.0,[],,36.99,,,,,"40 Knots Gamay bursts with juicy ripe berries, balanced by fresh acidity, soft tannins, and a touch of spice and earthiness. Light-bodied yet vibrant, it finishes smooth and fruit-forward, making it perfect for pairing with charcuterie, roasted poultry, or simply enjoying on its own.
",,['BC VQA'],,,21723,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/21723.jpeg,739,2026-08-26 08:10:02,,1,['00626990289876'],False,,0.75,"['BC VQA', 'All VQA']",40 KNOTS - ISLAND GAMAY NOIR 2023,,Canada,False,,2,2,RED,GAMAY,False,61.0, ISLAND GAMAY NOIR 2023,0.10800000000000001,,False,['BC VQA'],ST,,40 KNOTS ,CA,,Canada - BC Red Wine,Red Wine,False,False,0,36.99,00,False,,,40 knots - island gamay noir 2023,True,,21,Wine,[],True,1005,1028,1077,554.25,27335.61,0.08100000000000002,456.6666666666666,0.30808080808080807
3,bcls,product,998120,0.6080055,40 KNOTS - ISLAND ROSE,,True,Canada - BC,4.2,[],True,29.49,,,2026-07-26T00:00:00.000-07:00,,"A vibrant, crisp rosé with aromas of wild strawberry, raspberry, and a hint of watermelon. Bright red berry flavours and subtle citrus lead to a refreshingly dry finish with delicate minerality. Perfect for warm afternoons, lively conversation, and pairing with seafood, salads, or grilled fare.
",2026-07-26T00:00:00.000-07:00,"['On Sale', 'BC VQA']",2026-08-29T00:00:00.000-07:00,,998120,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/998120.jpeg,374,2026-08-26 08:10:02,,1,['00626990271444'],False,,0.75,"['BC VQA', 'All VQA']",40 KNOTS - ISLAND ROSE,,Canada,False,,2,2,ROSE,NOT APPLICABLE,False,31.0, ISLAND ROSE,0.12300000000000001,,False,"['On Sale', 'BC VQA']",ST,,40 KNOTS ,CA,,Canada - BC Rose Wine,Rose Wine,False,False,0,24.49,01,False,,,40 knots - island rose,True,2026-08-29T00:00:00.000-07:00,7,Wine,[],True,1005,1028,1078,280.5,11029.26,0.09225000000000001,319.67479674796743,0.15656565656565657
4,bcls,product,34465,0.61182934,40 KNOTS - ISLAND WHITE SEAS 2024,,True,Canada - BC,4.3,[],True,25.99,,,2026-07-26T00:00:00.000-07:00,Other Blend,"40 Knots White Seas is crisp and refreshing, with juicy acidity and bright notes of green apple, pear, and zesty lime. A hint of sea breeze minerality evokes the Salish Sea, leading to a clean, vibrant finish. Perfect with seafood, light salads, or for easy coastal sipping.
",2026-07-26T00:00:00.000-07:00,"['On Sale', 'BC VQA']",2026-08-29T00:00:00.000-07:00,,34465,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/34465.jpeg,1201,2026-08-26 08:10:02,,1,['00626990271406'],False,,0.75,"['BC VQA', 'All VQA']",40 KNOTS - ISLAND WHITE SEAS 2024,,Canada,False,,2,2,WHITE,OTHER BLEND,False,90.0, ISLAND WHITE SEAS 2024,0.10800000000000001,,False,"['On Sale', 'BC VQA']",SH,,40 KNOTS ,CA,,Canada - BC White Wine,White Wine,False,False,0,23.99,01,False,,,40 knots - island white seas 2024,True,2026-08-29T00:00:00.000-07:00,29,Wine,[],True,1005,1028,1079,900.75,31213.989999999998,0.08100000000000002,320.8641975308641,0.45454545454545453
5,bcls,product,313142,0.61182934,50TH PARALLEL ESTATE - MIX AND MINGLE,,True,Canada - BC,4.6,[],,24.99,,,,Other Blend,"Aromas of pink lady apple, honeydew melon, honeysuckle, and lemon zest, make this an attractive wine to the nose. The palate is crisp and tart, with flavours of gooseberry, white plum, and quince. A zippy vibrant finish makes this a perfect wine to sip on a warm summer day!",,['BC VQA'],,,313142,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/313142.jpeg,1190,2026-08-26 08:10:02,,1,['00696852037969'],False,,0.75,"['BC VQA', 'All VQA']",50TH PARALLEL ESTATE - MIX AND MINGLE,,Canada,False,,2,2,WHITE,OTHER BLEND,False,88.0, MIX AND MINGLE,0.12,,False,['BC VQA'],SR,,50TH PARALLEL ESTATE ,CA,,Canada - BC White Wine,White Wine,False,False,0,24.99,01,False,,,50th parallel estate - mix and mingle,True,,13,Wine,[],True,1005,1028,1079,892.5,29738.1,0.09,277.6666666666667,0.4444444444444444
6,bcls,product,319657,0.6080055,50TH PARALLEL ESTATE - RIESLING,,True,Canada - BC,3.7,['Wines & Spirits Over 90 Points'],,24.99,,,,Riesling,"90 Points, International Wine & Spirits Competition: ""Aromas of lemon and lime zest, mandarin orange, fruit blossoms and white peach, highlight our ripe fruit concentration. On the palate, structure, minerality and crisp acidity drive this wine. Fruit flavours carry through onto the palate as well, with peach, orange and gooseberry flavours at the fore front."" (2025)
",,['BC VQA'],,,319657,,['Wines & Spirits Over 90 Points'],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/319657.jpeg,309,2026-08-26 08:10:02,,1,['00626990162339'],False,,0.75,"['BC VQA', 'All VQA']",50TH PARALLEL ESTATE - RIESLING,,Canada,False,,2,2,WHITE,RIESLING,False,32.0, RIESLING,0.11,,False,['BC VQA'],ST,,50TH PARALLEL ESTATE ,CA,,Canada - BC White Wine,White Wine,False,False,0,24.99,01,False,"[{'urlAlias': '/promotion/90-points-wines-and-spirits', 'name': 'Wines & Spirits Over 90 Points', 'promoCode': 'MAR2026PREMIUMWINESANDSPIRITS', 'published': True, 'shortName': ''}]","[{'urlAlias': '/promotion/90-points-wines-and-spirits', 'name': 'Wines & Spirits Over 90 Points', 'promoCode': 'MAR2026PREMIUMWINESANDSPIRITS', 'published': True, 'shortName': ''}]",50th parallel estate - riesling,True,,28,Wine,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'featured', 'label': 'FEATURED', 'labelLengthWithoutTags': 8}]",True,1005,1028,1079,231.75,7721.91,0.0825,302.9090909090909,0.16161616161616163
7,bcls,product,547356,0.6080055,50TH PARALLEL ESTATE CHARDONNAY,,True,Canada - BC,4.3,[],,49.99,,,,Chardonnay,"Pale straw hue. Aromas of pineapple and pastry, vanilla and lemon curd. A rich, luscious palate with textures and acidity, highlighted by electrical sensations on the palate. Flavours of citrus, brioche, crème brulee and a saline, build the complexity of this wine.
",,['BC VQA'],,,547356,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/547356.jpeg,269,2026-08-26 08:10:02,,1,['00626990223726'],False,,0.75,"['BC VQA', 'All VQA']",50TH PARALLEL ESTATE CHARDONNAY,,Canada,False,,2,2,WHITE,CHARDONNAY,False,25.0,50TH PARALLEL ESTATE CHARDONNAY,0.14,,False,['BC VQA'],ST,,,CA,,Canada - BC White Wine,White Wine,False,False,0,49.99,00,False,,,50th parallel estate chardonnay,True,,9,Wine,[],True,1005,1028,1079,201.75,13447.310000000001,0.10500000000000001,476.0952380952381,0.12626262626262627
8,bcls,product,79307,0.6080055,8TH GENERATION VINEYARD - CONFIDENCE,,True,Canada - BC,4.2,[],,22.99,,,,,False,,['BC VQA'],,,79307,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/79307.jpeg,474,2026-08-26 08:10:02,,1,"['00696852159524', '00626990429241', '00696852228640', '00696852010979']",False,,0.75,"['BC VQA', 'All VQA']",8TH GENERATION VINEYARD - CONFIDENCE,,Canada,False,,2,2,ROSE,NOT APPLICABLE,False,44.0, CONFIDENCE,0.127,,False,['BC VQA'],SH,,8TH GENERATION VINEYARD ,CA,,Canada - BC Sparkling Wine,Sparkling Wine,False,False,0,22.99,02,False,,,8th generation vineyard - confidence,True,,17,Wine,[],True,1005,1028,1080,355.5,10897.259999999998,0.09525,241.36482939632543,0.2222222222222222
9,bcls,product,122867,0.61182934,ABRUZZO PECORINO - BARONE DI VALFORTE 2024,,,Italy Wine,3.6,[],,23.99,,,,Other Blend,"This Pecorino wine is a classic expression of an ancient Italian variety. It's named after the Italian word for sheep — ""Pecora"" — that feed off these golden grapes. Aromas of wild honey, citrus and floral notes fill the nose, leading into a structured palate of light honeysuckle, pear and apricot.
",,['BCL Select'],,,122867,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/122867.jpeg,797,2026-08-26 08:10:02,,1,['08033413003063'],False,,0.75,[],ABRUZZO PECORINO - BARONE DI VALFORTE 2024,,Italy,False,Other Italy Central,2,2,WHITE,OTHER BLEND,False,53.0, BARONE DI VALFORTE 2024,0.13,,True,['BCL Select'],C,,ABRUZZO PECORINO ,IT,,Italy White Wine,White Wine,False,False,0,23.99,00,False,,,abruzzo pecorino - barone di valforte 2024,,,145,Wine,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'exclusive', 'label': 'ONLY@BCL', 'labelLengthWithoutTags': 8}]",True,1005,1043,1206,597.75,19120.03,0.0975,246.05128205128202,0.2676767676767677
