,time,sku,currentPrice,availableUnits,storeCount,consumerRating,votes
0,2021-11-28 12:53,122867,17.99,835,41.0,3.5,60
1,2021-11-28 12:53,62899,12.99,392,34.0,0.0,0
2,2021-11-28 12:53,24196,22.97,50,12.0,3.4,126
3,2021-11-28 12:53,712331,17.49,2205,139.0,3.6,266
4,2021-11-28 12:53,783498,19.99,1174,96.0,4.2,214
5,2021-11-28 12:53,556126,22.99,495,49.0,3.6,106
6,2021-11-28 12:53,150519,19.99,1105,77.0,4.3,107
7,2021-11-28 12:53,74714,26.99,475,38.0,4.0,24
8,2021-11-28 12:53,133044,31.99,317,26.0,4.3,3
9,2021-11-28 12:53,62235,15.99,1876,89.0,4.1,46
10,2021-11-28 12:53,167370,14.99,2111,133.0,4.2,80
11,2021-11-28 12:53,873539,13.99,1296,81.0,4.0,11
12,2021-11-28 12:53,177095,33.99,3,1.0,4.0,16
13,2021-11-28 12:53,895680,14.99,2942,152.0,3.7,118
14,2021-11-28 12:53,890160,25.99,168,8.0,4.1,42
15,2021-11-28 12:53,172973,12.97,30,4.0,4.2,50
16,2021-11-28 12:53,466011,29.99,1044,66.0,4.3,115
17,2021-11-28 12:53,189902,14.99,2138,132.0,3.7,452
18,2021-11-28 12:53,270363,14.99,2408,187.0,2.8,183
19,2021-11-28 12:53,184203,88.99,18,3.0,3.2,5
20,2021-11-28 12:53,93193,84.99,7,1.0,2.7,7
21,2021-11-28 12:53,112771,20.99,965,87.0,4.0,93
22,2021-11-28 12:53,112789,21.99,1376,103.0,4.0,100
23,2021-11-28 12:53,614834,29.99,371,31.0,4.5,103
24,2021-11-28 12:53,855759,45.99,856,73.0,4.1,232
25,2021-11-28 12:53,62232,62.99,159,14.0,2.5,81
26,2021-11-28 12:53,668723,145.99,21,5.0,4.6,93
27,2021-11-28 12:53,110312,55.99,1528,92.0,4.5,351
28,2021-11-28 12:53,456749,99.99,226,32.0,3.5,113
29,2021-11-28 12:53,44784,43.99,884,62.0,3.1,151
30,2021-11-28 12:53,859074,329.99,16,3.0,3.9,12
31,2021-11-28 12:53,317057,54.99,2454,124.0,3.6,239
32,2021-11-28 12:53,91301,245.99,30,3.0,2.8,5
33,2021-11-28 12:53,160785,195.99,153,29.0,3.9,14
34,2021-11-28 12:53,216085,55.99,1136,73.0,3.6,178
35,2021-11-28 12:53,215234,76.99,53,7.0,3.8,8
36,2021-11-28 12:53,494393,57.99,2323,122.0,3.6,336
37,2021-11-28 12:53,401315,75.99,233,32.0,3.6,46
38,2021-11-28 12:53,456412,30.99,228,18.0,5.0,7
39,2021-11-28 12:53,7831,8.99,1896,115.0,3.0,49
40,2021-11-28 12:53,26300,27.99,484,35.0,2.5,21
41,2021-11-28 12:53,374769,17.99,3674,156.0,4.1,760
42,2021-11-28 12:53,623306,17.99,2516,151.0,4.2,343
43,2021-11-28 12:53,148662,27.99,301,24.0,4.4,53
44,2021-11-28 12:53,132498,19.99,1395,89.0,4.0,110
45,2021-11-28 12:53,188474,14.49,1439,126.0,3.9,178
46,2021-11-28 12:53,228475,14.99,2824,170.0,3.7,60
47,2021-11-28 12:53,814822,28.99,1446,116.0,4.4,150
48,2021-11-28 12:53,237245,6.97,47,5.0,3.9,74
49,2021-11-28 12:53,169389,6.97,61,7.0,3.6,78
50,2021-11-28 12:53,195647,5.97,1,1.0,3.8,102
51,2021-11-28 12:53,124812,40.99,121,10.0,3.9,15
