,sku,alcoholPercentage,category_id,category,certificates,class_id,class,color,countryCode,countryName,grapeType,image,inventoryCode,isBCCraft,isBCSpirit,isBCVQA,isCraft,isDealcoholizedWine,isDraft,isExclusive,isKosher,isOntarioVQA,isOrganic,isVQA,name,namePrefix,nameSanitized,nameSuffix,productCategory,productSubCategory,productType,redVarietal,region,regularPrice,restrictionCode,sort,style,subCategory,subCategory_id,subRegion,sweetness,tastingDescription,totalAlcoholContent,totalVolume,unitSize,upc,volume,whiteVarietal
0,122867,0.13,1005,Wine,[],1206,Italy White Wine,WHITE,IT,Italy,OTHER BLEND,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/122867.jpeg,0,False,,,,,,True,False,,False,,ABRUZZO PECORINO - BARONE DI VALFORTE 2019,ABRUZZO PECORINO ,abruzzo pecorino - barone di valforte 2019, BARONE DI VALFORTE 2019,,,White Wine,,Other Italy Central,19.99,C,ABRUZZO PECORINO - BARONE DI VALFORTE 2019,,Italy Wine,1043,,00,"90 Points, Gismondi on Wine - ""Pecorino the grape, not the cheese, is grown on north-facing, calcareous laced soils in Piomba and Colle Sale, [Abruzzo]. The nose is a cool amalgam of almonds, minerals, and Asian pears, with an electric undercurrent of wet stones, citrus, and scrubby Meditteranean countryside...It's a giveaway at under $20."" (May 2020)",0.0975,626.25,1,['08033413003063'],0.75,Other Blend
1,62899,0.12,1005,Wine,[],1206,Italy White Wine,WHITE,IT,Italy,PECORINO,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/62899.jpeg,0,False,,,,,,True,False,,False,,ABRUZZO PECORINO - SPINELLI,ABRUZZO PECORINO ,abruzzo pecorino - spinelli, SPINELLI,,,White Wine,,Other Italy Central,12.99,C,ABRUZZO PECORINO - SPINELLI,,Italy Wine,1043,,00,False,0.09,294.0,1,['08004129002923'],0.75,Pecorino
2,24196,0.11,1005,Wine,[],1207,Prosecco Wine,NOT APPLICABLE,IT,Italy,NOT APPLICABLE,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/24196.jpeg,1,False,,,,,,True,False,,False,,ACCADEMIA - PROSECCO PRIDE,ACCADEMIA ,accademia - prosecco pride, PROSECCO PRIDE,,,Other Wine,,Prosecco,27.99,C,ACCADEMIA - PROSECCO PRIDE,,Italy Wine,1043,,00,False,0.0825,37.5,1,"['08005829985042', '08005829985035', '08005829985059', '08005829985028', '08005829985080', '08005829982959']",0.75,
3,712331,0.07,1005,Wine,[],1205,Italy Sparkling Wine,WHITE,IT,Italy,MUSCAT/MOSCATO,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/712331.jpeg,0,False,,,,,,True,False,,False,,ACQUESI  - ASTI,ACQUESI  ,acquesi  - asti, ASTI,,,Sparkling Wine,,Piedmont,19.99,C,ACQUESI  - ASTI,,Italy Wine,1043,Other,08,"Aromatic and sweet white sparkling wine, pale yellow color, the nose is fresh and intriguing, with hints of white flowers, peaches and citrus zest. Pairs well with pastries, pies or stuffed peaches. It makes an excellent dessert wine!
",0.052500000000000005,1653.75,1,['08056457510182'],0.75,Muscat / Moscato
4,783498,0.135,1005,Wine,[],1203,Italy Red Wine,RED,IT,Italy,AGLIANICO,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/783498.jpeg,0,False,,,,,,False,False,,False,,AGLIANICO DEL VULTURE - BASILISCO TEODOSIO 2016,AGLIANICO DEL VULTURE ,aglianico del vulture - basilisco teodosio 2016, BASILISCO TEODOSIO 2016,,,Red Wine,Aglianico,Other Italy South,21.99,SR,AGLIANICO DEL VULTURE - BASILISCO TEODOSIO 2016,,Italy Wine,1043,,00,"90 Points, Wine Advocate: “This is a near-term Aglianico offered at a terrific value price. ...an ample and broad bouquet that is infused with dark spice, dried blackberry and a slightly malolactic hint of milk chocolate... The finish is long and dusty, but there there is enough primary fruit to make this a very presentable red to drink... Drink: 2018 - 2024.” (August 2018)
",0.10125,880.5,1,"['08027919192017', '08027919132013', '08027919182018', '08027919162010', '08027919112015', '08027919142012', '08027919152011', '08027919122014']",0.75,
5,556126,0.13,1005,Wine,[],1153,France Rose Wine,ROSE,FR,France,NOT APPLICABLE,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/556126.jpeg,0,False,,,,,,True,False,,False,,AIX EN PROVENCE ROSE - BIELER PERE & FILS CUVEE SABINE 2020,AIX EN PROVENCE ROSE ,aix en provence rose - bieler pere & fils cuvee sabine 2020, BIELER PERE & FILS CUVEE SABINE 2020,,,Rose Wine,,Provence,22.99,C,AIX EN PROVENCE ROSE - BIELER PERE & FILS CUVEE SABINE 2020,,France Wine,1037,,00,"90 Points, Vinous: ""Fresh red berries, citrus fruits and floral notes on the fragrant nose. Dry and energetic in the mouth, offering lively strawberry, cherry and tangerine flavors that flesh out through the midpalate. Closes long and subtly spicy, with repeating citrus fruit and floral character.""
",0.0975,371.25,1,['00856622001013'],0.75,
6,150519,0.13,1005,Wine,[],1153,France Rose Wine,ROSE,FR,France,NOT APPLICABLE,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/150519.jpeg,0,False,,,,,,True,False,,False,,AIX EN PROVENCE ROSE - CHATEAU BARBEBELLE ROSE FLEURI 2020,AIX EN PROVENCE ROSE ,aix en provence rose - chateau barbebelle rose fleuri 2020, CHATEAU BARBEBELLE ROSE FLEURI 2020,,,Rose Wine,,Provence,19.99,C,AIX EN PROVENCE ROSE - CHATEAU BARBEBELLE ROSE FLEURI 2020,,France Wine,1037,,00,"93 Points, Decanter's Rose Wines of the Year 2020 - ""Ripe stone fruit, summer berries and rose aromas. Raspberry and ripe cherry provide sunny, warm fruits on the palate that sit alongside balanced acidity and an appealing weight.
",0.0975,828.75,1,"['03414010000054', '03414011800073', '03414010000092', '03414010000269']",0.75,
7,74714,0.12,1005,Wine,['Organic'],1268,Spain Sparkling Wine,NOT APPLICABLE,ES,Spain,NOT APPLICABLE,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/74714.jpeg,0,False,,,,,,True,False,,True,,ALBET I NOYA - PETIT ALBET PENEDES BRUT RESERVA ORGANIC 2017,ALBET I NOYA ,albet i noya - petit albet penedes brut reserva organic 2017, PETIT ALBET PENEDES BRUT RESERVA ORGANIC 2017,,,Sparkling Wine,,Other Spain North,26.99,C,ALBET I NOYA - PETIT ALBET PENEDES BRUT RESERVA ORGANIC 2017,,Spain Wine,1051,,01,"90 Points, WineScores - ""NEW, tasty, organic. A traditional Penedes blend of Macabeo, Xarelo-lo and Parellada. Melon and candied lemons, apple peel, powdery floral notes and wild herbs yeasty undertones. primary flavours of yellow tree fruits, and citrus. A tasty traditional-method sparkling delivering good persistence and gulp-ability."" (Jan 18 2021)",0.09,356.25,1,['08437000043300'],0.75,
8,133044,0.145,1005,Wine,[],1248,Portugal Red Wine,RED,PT,Portugal,OTHER BLEND,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/133044.jpeg,0,False,,,,,,False,False,,False,,ALENTEJANO - BOJADOR SPECIAL EDITION VINHO TINTO,ALENTEJANO ,alentejano - bojador special edition vinho tinto, BOJADOR SPECIAL EDITION VINHO TINTO,,,Red Wine,Other Blend,Other Portugal South,31.99,ST,ALENTEJANO - BOJADOR SPECIAL EDITION VINHO TINTO,,Portugal Wine,1048,,00,"Decanter, 93 points: ""Moreto has the starring role in this blend, setting the tone, with a flavoursome, mellow palate. Savoury oak and cured leather notes lead on the nose and palate. Rich gusty dried fig and spicy, bay-leaf-accented currant fruit throughout. Ripe mouth-coating tannins lend depth, whilst persistent mineral acidity brings length of flavour.""
",0.10874999999999999,237.75,1,['05600757841588'],0.75,
9,62235,0.14,1005,Wine,[],1248,Portugal Red Wine,RED,PT,Portugal,OTHER BLEND,http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/62235.jpeg,0,False,,,,,,True,False,,False,,ALENTEJANO - CASA SANTOS LIMA QUID PRO QUO,ALENTEJANO ,alentejano - casa santos lima quid pro quo, CASA SANTOS LIMA QUID PRO QUO,,,Red Wine,Other Blend,Other Portugal South,15.99,C,ALENTEJANO - CASA SANTOS LIMA QUID PRO QUO,,Portugal Wine,1048,,00,"90 Points Wine Enthusiast: """"A rich, solid blend of Touriga Nacional, Tinto Roriz, Syrah and Alicante Bouschet, the wine has a fine balance between cool tannins and bold black fruits. It is a wine that will age further with its juicy acidity and tannins. Drink from 2021."" (November 2020)
",0.10500000000000001,1407.0,1,['05604424433014'],0.75,
